☘️广东频道,#genre#
潮州综合,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20260101$自用源
潮州综合,http://115.190.252.60/gdtouch.php?id=1224$自用源
潮州综合,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=UPmGsF&tk=EuWQIWwVA7n1$自用源
潮州民生,http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20260101$自用源
潮州民生,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=VGsfIL&tk=EuWQIWwVA7n1$自用源
汕头综合,http://gd.sohu.blog/gdst.php?id=st1$自用源
汕头综合,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=klqapJ&tk=EuWQIWwVA7n1$自用源
汕头综合,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=EWNtar&tk=EuWQIWwVA7n1$自用源
汕头经济,http://gd.sohu.blog/gdst.php?id=st2$自用源
汕头经济,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=a0Xfso&tk=EuWQIWwVA7n1$自用源
汕头经济,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=jjovNE&tk=EuWQIWwVA7n1$自用源
揭阳生活,http://123.207.224.130:123/guangdong/jieyang.php?id=jysh$自用源
揭阳生活,http://47.108.20.161:8866/guangdong/jieyang.php?id=jysh$自用源
揭阳综合,http://123.207.224.130:123/guangdong/jieyang.php?id=jyzh$自用源
揭阳综合,http://47.108.20.161:8866/guangdong/jieyang.php?id=jyzh$自用源
揭阳综合,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=NNlB8d&tk=EuWQIWwVA7n1$自用源

🌊港·澳·台,#genre#
翡翠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=kBXBw8&tk=EuWQIWwVA7n1$自用源
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct$自用源
翡翠台,https://cdn6.163189.xyz/163189/fct4k$自用源
翡翠台,http://hls.168.us.kg/u/81/master.m3u8$自用源
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
明珠台,http://mytv.cdn.loc.cc/o12.php?id=mzt$自用源
明珠台,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=0kKsxj&tk=EuWQIWwVA7n1$自用源
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
TVB无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn$自用源
TVB无线新闻,https://cdn6.101.qzz.io/163189/wxxw$自用源
TVB无线新闻,http://hls.168.us.kg/u/83/master.m3u8$自用源
TVB无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn$自用源
TVB无线新闻,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=bfIYXv&tk=EuWQIWwVA7n1$自用源
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
TVB星河,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=VJWJ87&tk=EuWQIWwVA7n1$自用源
TVB星河,https://cdn6.101.qzz.io/163189/tvbxh$自用源
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
ViuTV,http://hls.168.us.kg/u/99/master.m3u8$自用源
ViuTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn$自用源
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=nfTarK&tk=EuWQIWwVA7n1$自用源
凤凰中文,https://cdn6.163189.xyz/163189/fhzw$自用源
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd$自用源
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=3DjwET&tk=EuWQIWwVA7n1$自用源
凤凰资讯,https://cdn6.101.qzz.io/163189/fhzx$自用源
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd$自用源
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=5icOTx&tk=EuWQIWwVA7n1$自用源
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn$自用源
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
香港卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HyEuCi&tk=inWducl7RAaR$自用源

📺央视频道,#genre#

📡卫视频道,#genre#

🎬电影频道,#genre#
美亚电影,http://tl.061833.xyz/tl/null-5#http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=YUJ2Ne&tk=EuWQIWwVA7n1$自用源
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya

🕘️更新时间,#genre#
2026-02-14 21:09:47,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20260101$自用源
